Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,AFF GDP Q_n-3,AFF GDP Q_n-4,AFF GDP Q_n-5,AFF GDP Q_n-6,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,NINO3.4 SST Q_n-3,NINO3.4 SST Q_n-4,NINO3.4 SST Q_n-5,NINO3.4 SST Q_n-6,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,Area Harvested Q_n-3,Area Harvested Q_n-4,Area Harvested Q_n-5,Area Harvested Q_n-6,PALAY YIELD Q_n
Abra,1991,1,Irrigated Palay,68165.9,53027.8,56557.5,57509.0,59752.8,48903.4,26.846666666666664,26.996666666666666,27.7,26.746666666666666,26.290000000000003,26.386666666666667,670.0,4080.0,810.0,2900.0,1020.0,4080.0,750.0,1044.0
Abra,1991,2,Irrigated Palay,63482.2,68165.9,53027.8,56557.5,57509.0,59752.8,26.973333333333333,26.846666666666664,26.996666666666666,27.7,26.746666666666666,26.290000000000003,3220.0,670.0,4080.0,810.0,2900.0,1020.0,4080.0,6365.0
Abra,1991,3,Irrigated Palay,62316.1,63482.2,68165.9,53027.8,56557.5,57509.0,28.040000000000003,26.973333333333333,26.846666666666664,26.996666666666666,27.7,26.746666666666666,440.0,3220.0,670.0,4080.0,810.0,2900.0,1020.0,861.0
Abra,1991,4,Irrigated Palay,55754.1,62316.1,63482.2,68165.9,53027.8,56557.5,27.44666666666667,28.040000000000003,26.973333333333333,26.846666666666664,26.996666666666666,27.7,4140.0,440.0,3220.0,670.0,4080.0,810.0,2900.0,7756.0
Abra,1992,1,Irrigated Palay,79396.1,55754.1,62316.1,63482.2,68165.9,53027.8,27.753333333333334,27.44666666666667,28.040000000000003,26.973333333333333,26.846666666666664,26.996666666666666,810.0,4140.0,440.0,3220.0,670.0,4080.0,810.0,1563.0
Abra,1992,2,Irrigated Palay,72138.6,79396.1,55754.1,62316.1,63482.2,68165.9,28.3,27.753333333333334,27.44666666666667,28.040000000000003,26.973333333333333,26.846666666666664,2830.0,810.0,4140.0,440.0,3220.0,670.0,4080.0,5776.0
Abra,1992,3,Irrigated Palay,67859.7,72138.6,79396.1,55754.1,62316.1,63482.2,28.573333333333334,28.3,27.753333333333334,27.44666666666667,28.040000000000003,26.973333333333333,450.0,2830.0,810.0,4140.0,440.0,3220.0,670.0,942.0
Abra,1992,4,Irrigated Palay,61128.0,67859.7,72138.6,79396.1,55754.1,62316.1,26.956666666666667,28.573333333333334,28.3,27.753333333333334,27.44666666666667,28.040000000000003,4140.0,450.0,2830.0,810.0,4140.0,440.0,3220.0,5776.0
Abra,1993,1,Irrigated Palay,93417.7,61128.0,67859.7,72138.6,79396.1,55754.1,26.563333333333333,26.956666666666667,28.573333333333334,28.3,27.753333333333334,27.44666666666667,810.0,4140.0,450.0,2830.0,810.0,4140.0,440.0,1460.0
Abra,1993,2,Irrigated Palay,79063.6,93417.7,61128.0,67859.7,72138.6,79396.1,27.08666666666667,26.563333333333333,26.956666666666667,28.573333333333334,28.3,27.753333333333334,2710.0,810.0,4140.0,450.0,2830.0,810.0,4140.0,5212.0
Abra,1993,3,Irrigated Palay,71961.1,79063.6,93417.7,61128.0,67859.7,72138.6,28.173333333333332,27.08666666666667,26.563333333333333,26.956666666666667,28.573333333333334,28.3,700.0,2710.0,810.0,4140.0,450.0,2830.0,810.0,1255.0
Abra,1993,4,Irrigated Palay,62458.1,71961.1,79063.6,93417.7,61128.0,67859.7,27.123333333333335,28.173333333333332,27.08666666666667,26.563333333333333,26.956666666666667,28.573333333333334,3940.0,700.0,2710.0,810.0,4140.0,450.0,2830.0,7594.0
Abra,1994,1,Irrigated Palay,104628.6,62458.1,71961.1,79063.6,93417.7,61128.0,26.866666666666664,27.123333333333335,28.173333333333332,27.08666666666667,26.563333333333333,26.956666666666667,660.0,3940.0,700.0,2710.0,810.0,4140.0,450.0,1243.0
Abra,1994,2,Irrigated Palay,91738.8,104628.6,62458.1,71961.1,79063.6,93417.7,26.87,26.866666666666664,27.123333333333335,28.173333333333332,27.08666666666667,26.563333333333333,2100.0,660.0,3940.0,700.0,2710.0,810.0,4140.0,4158.0
Abra,1994,3,Irrigated Palay,87405.3,91738.8,104628.6,62458.1,71961.1,79063.6,27.906666666666666,26.87,26.866666666666664,27.123333333333335,28.173333333333332,27.08666666666667,650.0,2100.0,660.0,3940.0,700.0,2710.0,810.0,1193.0
Abra,1994,4,Irrigated Palay,79050.2,87405.3,91738.8,104628.6,62458.1,71961.1,27.209999999999997,27.906666666666666,26.87,26.866666666666664,27.123333333333335,28.173333333333332,4200.0,650.0,2100.0,660.0,3940.0,700.0,2710.0,8036.0
Abra,1995,1,Irrigated Palay,114037.0,79050.2,87405.3,91738.8,104628.6,62458.1,27.63,27.209999999999997,27.906666666666666,26.87,26.866666666666664,27.123333333333335,670.0,4200.0,650.0,2100.0,660.0,3940.0,700.0,1266.0
Abra,1995,2,Irrigated Palay,97631.4,114037.0,79050.2,87405.3,91738.8,104628.6,27.406666666666666,27.63,27.209999999999997,27.906666666666666,26.87,26.866666666666664,2840.0,670.0,4200.0,650.0,2100.0,660.0,3940.0,5576.0
Abra,1995,3,Irrigated Palay,91833.8,97631.4,114037.0,79050.2,87405.3,91738.8,27.63,27.406666666666666,27.63,27.209999999999997,27.906666666666666,26.87,530.0,2840.0,670.0,4200.0,650.0,2100.0,660.0,902.0
Abra,1995,4,Irrigated Palay,95039.6,91833.8,97631.4,114037.0,79050.2,87405.3,26.506666666666664,27.63,27.406666666666666,27.63,27.209999999999997,27.906666666666666,7740.0,530.0,2840.0,670.0,4200.0,650.0,2100.0,13892.0
Abra,1996,1,Irrigated Palay,127416.9,95039.6,91833.8,97631.4,114037.0,79050.2,25.786666666666665,26.506666666666664,27.63,27.406666666666666,27.63,27.209999999999997,550.0,7740.0,530.0,2840.0,670.0,4200.0,650.0,1039.0
Abra,1996,2,Irrigated Palay,111239.9,127416.9,95039.6,91833.8,97631.4,114037.0,26.093333333333334,25.786666666666665,26.506666666666664,27.63,27.406666666666666,27.63,2840.0,550.0,7740.0,530.0,2840.0,670.0,4200.0,5424.0
Abra,1996,3,Irrigated Palay,106899.1,111239.9,127416.9,95039.6,91833.8,97631.4,27.30666666666667,26.093333333333334,25.786666666666665,26.506666666666664,27.63,27.406666666666666,540.0,2840.0,550.0,7740.0,530.0,2840.0,670.0,954.0
Abra,1996,4,Irrigated Palay,103514.7,106899.1,111239.9,127416.9,95039.6,91833.8,26.643333333333334,27.30666666666667,26.093333333333334,25.786666666666665,26.506666666666664,27.63,8400.0,540.0,2840.0,550.0,7740.0,530.0,2840.0,19572.0
Abra,1997,1,Irrigated Palay,125319.5,103514.7,106899.1,111239.9,127416.9,95039.6,26.21666666666667,26.643333333333334,27.30666666666667,26.093333333333334,25.786666666666665,26.506666666666664,550.0,8400.0,540.0,2840.0,550.0,7740.0,530.0,1100.0
Abra,1997,2,Irrigated Palay,113363.8,125319.5,103514.7,106899.1,111239.9,127416.9,26.39,26.21666666666667,26.643333333333334,27.30666666666667,26.093333333333334,25.786666666666665,2980.0,550.0,8400.0,540.0,2840.0,550.0,7740.0,7212.0
Abra,1997,3,Irrigated Palay,106215.2,113363.8,125319.5,103514.7,106899.1,111239.9,28.166666666666668,26.39,26.21666666666667,26.643333333333334,27.30666666666667,26.093333333333334,530.0,2980.0,550.0,8400.0,540.0,2840.0,550.0,1018.0
Abra,1997,4,Irrigated Palay,99570.3,106215.2,113363.8,125319.5,103514.7,106899.1,28.583333333333332,28.166666666666668,26.39,26.21666666666667,26.643333333333334,27.30666666666667,7960.0,530.0,2980.0,550.0,8400.0,540.0,2840.0,17856.0
Abra,1998,1,Irrigated Palay,137046.0,99570.3,106215.2,113363.8,125319.5,103514.7,28.8,28.583333333333332,28.166666666666668,26.39,26.21666666666667,26.643333333333334,530.0,7960.0,530.0,2980.0,550.0,8400.0,540.0,1055.0
Abra,1998,2,Irrigated Palay,112724.5,137046.0,99570.3,106215.2,113363.8,125319.5,28.493333333333336,28.8,28.583333333333332,28.166666666666668,26.39,26.21666666666667,2550.0,530.0,7960.0,530.0,2980.0,550.0,8400.0,5437.0
Abra,1998,3,Irrigated Palay,103829.1,112724.5,137046.0,99570.3,106215.2,113363.8,27.863333333333333,28.493333333333336,28.8,28.583333333333332,28.166666666666668,26.39,530.0,2550.0,530.0,7960.0,530.0,2980.0,550.0,1000.0
Abra,1998,4,Irrigated Palay,100814.7,103829.1,112724.5,137046.0,99570.3,106215.2,25.86,27.863333333333333,28.493333333333336,28.8,28.583333333333332,28.166666666666668,7920.0,530.0,2550.0,530.0,7960.0,530.0,2980.0,16896.0
Abra,1999,1,Irrigated Palay,131848.1,100814.7,103829.1,112724.5,137046.0,99570.3,25.28333333333333,25.86,27.863333333333333,28.493333333333336,28.8,28.583333333333332,540.0,7920.0,530.0,2550.0,530.0,7960.0,530.0,1091.0
Abra,1999,2,Irrigated Palay,129091.1,131848.1,100814.7,103829.1,112724.5,137046.0,25.650000000000002,25.28333333333333,25.86,27.863333333333333,28.493333333333336,28.8,2790.0,540.0,7920.0,530.0,2550.0,530.0,7960.0,7684.0
Abra,1999,3,Irrigated Palay,117599.4,129091.1,131848.1,100814.7,103829.1,112724.5,26.796666666666667,25.650000000000002,25.28333333333333,25.86,27.863333333333333,28.493333333333336,540.0,2790.0,540.0,7920.0,530.0,2550.0,530.0,1161.0
Abra,1999,4,Irrigated Palay,113313.6,117599.4,129091.1,131848.1,100814.7,103829.1,25.893333333333334,26.796666666666667,25.650000000000002,25.28333333333333,25.86,27.863333333333333,8112.0,540.0,2790.0,540.0,7920.0,530.0,2550.0,23770.0
Abra,2000,1,Irrigated Palay,148640.2,113313.6,117599.4,129091.1,131848.1,100814.7,25.25333333333333,25.893333333333334,26.796666666666667,25.650000000000002,25.28333333333333,25.86,700.0,8112.0,540.0,2790.0,540.0,7920.0,530.0,1484.0
Abra,2000,2,Irrigated Palay,125530.2,148640.2,113313.6,117599.4,129091.1,131848.1,25.373333333333335,25.25333333333333,25.893333333333334,26.796666666666667,25.650000000000002,25.28333333333333,2800.0,700.0,8112.0,540.0,2790.0,540.0,7920.0,8584.0
Abra,2000,3,Irrigated Palay,124887.5,125530.2,148640.2,113313.6,117599.4,129091.1,26.94333333333333,25.373333333333335,25.25333333333333,25.893333333333334,26.796666666666667,25.650000000000002,530.0,2800.0,700.0,8112.0,540.0,2790.0,540.0,1140.0
Abra,2000,4,Irrigated Palay,113497.5,124887.5,125530.2,148640.2,113313.6,117599.4,26.400000000000002,26.94333333333333,25.373333333333335,25.25333333333333,25.893333333333334,26.796666666666667,8116.0,530.0,2800.0,700.0,8112.0,540.0,2790.0,24200.0
Abra,2001,1,Irrigated Palay,151564.7,113497.5,124887.5,125530.2,148640.2,113313.6,25.856666666666666,26.400000000000002,26.94333333333333,25.373333333333335,25.25333333333333,25.893333333333334,700.0,8116.0,530.0,2800.0,700.0,8112.0,540.0,1484.0
Abra,2001,2,Irrigated Palay,122880.6,151564.7,113497.5,124887.5,125530.2,148640.2,26.28333333333333,25.856666666666666,26.400000000000002,26.94333333333333,25.373333333333335,25.25333333333333,2820.0,700.0,8116.0,530.0,2800.0,700.0,8112.0,8197.0
Abra,2001,3,Irrigated Palay,125987.5,122880.6,151564.7,113497.5,124887.5,125530.2,27.403333333333336,26.28333333333333,25.856666666666666,26.400000000000002,26.94333333333333,25.373333333333335,550.0,2820.0,700.0,8116.0,530.0,2800.0,700.0,1194.0
Abra,2001,4,Irrigated Palay,121929.4,125987.5,122880.6,151564.7,113497.5,124887.5,26.86,27.403333333333336,26.28333333333333,25.856666666666666,26.400000000000002,26.94333333333333,8116.0,550.0,2820.0,700.0,8116.0,530.0,2800.0,24916.0
Abra,2002,1,Irrigated Palay,164560.6,121929.4,125987.5,122880.6,151564.7,113497.5,26.326666666666668,26.86,27.403333333333336,26.28333333333333,25.856666666666666,26.400000000000002,700.0,8116.0,550.0,2820.0,700.0,8116.0,530.0,1519.0
Abra,2002,2,Irrigated Palay,139121.7,164560.6,121929.4,125987.5,122880.6,151564.7,26.763333333333335,26.326666666666668,26.86,27.403333333333336,26.28333333333333,25.856666666666666,2820.0,700.0,8116.0,550.0,2820.0,700.0,8116.0,8680.0
Abra,2002,3,Irrigated Palay,133602.0,139121.7,164560.6,121929.4,125987.5,122880.6,28.073333333333334,26.763333333333335,26.326666666666668,26.86,27.403333333333336,26.28333333333333,630.0,2820.0,700.0,8116.0,550.0,2820.0,700.0,1496.0
Abra,2002,4,Irrigated Palay,131605.2,133602.0,139121.7,164560.6,121929.4,125987.5,27.683333333333334,28.073333333333334,26.763333333333335,26.326666666666668,26.86,27.403333333333336,8186.0,630.0,2820.0,700.0,8116.0,550.0,2820.0,23436.0
Abra,2003,1,Irrigated Palay,180752.5,131605.2,133602.0,139121.7,164560.6,121929.4,27.92,27.683333333333334,28.073333333333334,26.763333333333335,26.326666666666668,26.86,680.0,8186.0,630.0,2820.0,700.0,8116.0,550.0,1455.0
Abra,2003,2,Irrigated Palay,148870.5,180752.5,131605.2,133602.0,139121.7,164560.6,27.52333333333333,27.92,27.683333333333334,28.073333333333334,26.763333333333335,26.326666666666668,3006.0,680.0,8186.0,630.0,2820.0,700.0,8116.0,9193.0
Abra,2003,3,Irrigated Palay,140507.6,148870.5,180752.5,131605.2,133602.0,139121.7,27.44,27.52333333333333,27.92,27.683333333333334,28.073333333333334,26.763333333333335,664.0,3006.0,680.0,8186.0,630.0,2820.0,700.0,1408.0
Abra,2003,4,Irrigated Palay,139398.9,140507.6,148870.5,180752.5,131605.2,133602.0,27.073333333333334,27.44,27.52333333333333,27.92,27.683333333333334,28.073333333333334,8116.0,664.0,3006.0,680.0,8186.0,630.0,2820.0,25402.0
Abra,2004,1,Irrigated Palay,191659.6,139398.9,140507.6,148870.5,180752.5,131605.2,27.066666666666666,27.073333333333334,27.44,27.52333333333333,27.92,27.683333333333334,693.0,8116.0,664.0,3006.0,680.0,8186.0,630.0,1504.0
Abra,2004,2,Irrigated Palay,175281.0,191659.6,139398.9,140507.6,148870.5,180752.5,26.91,27.066666666666666,27.073333333333334,27.44,27.52333333333333,27.92,3154.0,693.0,8116.0,664.0,3006.0,680.0,8186.0,9777.0
Abra,2004,3,Irrigated Palay,171867.2,175281.0,191659.6,139398.9,140507.6,148870.5,27.80333333333333,26.91,27.066666666666666,27.073333333333334,27.44,27.52333333333333,656.0,3154.0,693.0,8116.0,664.0,3006.0,680.0,1464.0
Abra,2004,4,Irrigated Palay,175144.1,171867.2,175281.0,191659.6,139398.9,140507.6,27.566666666666666,27.80333333333333,26.91,27.066666666666666,27.073333333333334,27.44,8139.0,656.0,3154.0,693.0,8116.0,664.0,3006.0,25962.0
Abra,2005,1,Irrigated Palay,222223.9,175144.1,171867.2,175281.0,191659.6,139398.9,27.366666666666664,27.566666666666666,27.80333333333333,26.91,27.066666666666666,27.073333333333334,700.0,8139.0,656.0,3154.0,693.0,8116.0,664.0,2170.0
Abra,2005,2,Irrigated Palay,188460.1,222223.9,175144.1,171867.2,175281.0,191659.6,27.21666666666667,27.366666666666664,27.566666666666666,27.80333333333333,26.91,27.066666666666666,3164.0,700.0,8139.0,656.0,3154.0,693.0,8116.0,10125.0
Abra,2005,3,Irrigated Palay,180793.2,188460.1,222223.9,175144.1,171867.2,175281.0,27.98,27.21666666666667,27.366666666666664,27.566666666666666,27.80333333333333,26.91,656.0,3164.0,700.0,8139.0,656.0,3154.0,693.0,1699.0
Abra,2005,4,Irrigated Palay,186337.0,180793.2,188460.1,222223.9,175144.1,171867.2,26.99,27.98,27.21666666666667,27.366666666666664,27.566666666666666,27.80333333333333,8132.0,656.0,3164.0,700.0,8139.0,656.0,3154.0,26592.0
Abra,2006,1,Irrigated Palay,244281.1,186337.0,180793.2,188460.1,222223.9,175144.1,26.276666666666667,26.99,27.98,27.21666666666667,27.366666666666664,27.566666666666666,716.0,8132.0,656.0,3164.0,700.0,8139.0,656.0,2220.0
Abra,2006,2,Irrigated Palay,210596.4,244281.1,186337.0,180793.2,188460.1,222223.9,26.09,26.276666666666667,26.99,27.98,27.21666666666667,27.366666666666664,3164.0,716.0,8132.0,656.0,3164.0,700.0,8139.0,10758.0
Abra,2006,3,Irrigated Palay,202886.6,210596.4,244281.1,186337.0,180793.2,188460.1,27.709999999999997,26.09,26.276666666666667,26.99,27.98,27.21666666666667,656.0,3164.0,716.0,8132.0,656.0,3164.0,700.0,1791.0
Abra,2006,4,Irrigated Palay,203640.3,202886.6,210596.4,244281.1,186337.0,180793.2,27.266666666666666,27.709999999999997,26.09,26.276666666666667,26.99,27.98,8148.0,656.0,3164.0,716.0,8132.0,656.0,3164.0,27866.0
Abra,2007,1,Irrigated Palay,258094.3,203640.3,202886.6,210596.4,244281.1,186337.0,27.61,27.266666666666666,27.709999999999997,26.09,26.276666666666667,26.99,720.0,8148.0,656.0,3164.0,716.0,8132.0,656.0,2268.0
Abra,2007,2,Irrigated Palay,225815.3,258094.3,203640.3,202886.6,210596.4,244281.1,27.103333333333335,27.61,27.266666666666666,27.709999999999997,26.09,26.276666666666667,3164.0,720.0,8148.0,656.0,3164.0,716.0,8132.0,11239.0
Abra,2007,3,Irrigated Palay,225863.8,225815.3,258094.3,203640.3,202886.6,210596.4,27.573333333333334,27.103333333333335,27.61,27.266666666666666,27.709999999999997,26.09,676.0,3164.0,720.0,8148.0,656.0,3164.0,716.0,1924.0
Abra,2007,4,Irrigated Palay,225946.3,225863.8,225815.3,258094.3,203640.3,202886.6,26.37,27.573333333333334,27.103333333333335,27.61,27.266666666666666,27.709999999999997,9160.0,676.0,3164.0,720.0,8148.0,656.0,3164.0,31674.0
Abra,2008,1,Irrigated Palay,301804.3,225946.3,225863.8,225815.3,258094.3,203640.3,25.48333333333333,26.37,27.573333333333334,27.103333333333335,27.61,27.266666666666666,720.0,9160.0,676.0,3164.0,720.0,8148.0,656.0,2376.0
Abra,2008,2,Irrigated Palay,267036.3,301804.3,225946.3,225863.8,225815.3,258094.3,25.506666666666664,25.48333333333333,26.37,27.573333333333334,27.103333333333335,27.61,3224.0,720.0,9160.0,676.0,3164.0,720.0,8148.0,11606.0
Abra,2008,3,Irrigated Palay,293394.2,267036.3,301804.3,225946.3,225863.8,225815.3,27.070000000000004,25.506666666666664,25.48333333333333,26.37,27.573333333333334,27.103333333333335,671.0,3224.0,720.0,9160.0,676.0,3164.0,720.0,1946.0
Abra,2008,4,Irrigated Palay,274774.3,293394.2,267036.3,301804.3,225946.3,225863.8,26.793333333333333,27.070000000000004,25.506666666666664,25.48333333333333,26.37,27.573333333333334,9160.0,671.0,3224.0,720.0,9160.0,676.0,3164.0,32657.0
Abra,2009,1,Irrigated Palay,333368.4,274774.3,293394.2,267036.3,301804.3,225946.3,26.290000000000003,26.793333333333333,27.070000000000004,25.506666666666664,25.48333333333333,26.37,1695.0,9160.0,671.0,3224.0,720.0,9160.0,676.0,5790.0
Abra,2009,2,Irrigated Palay,296534.9,333368.4,274774.3,293394.2,267036.3,301804.3,26.166666666666668,26.290000000000003,26.793333333333333,27.070000000000004,25.506666666666664,25.48333333333333,3224.0,1695.0,9160.0,671.0,3224.0,720.0,9160.0,12202.0
Abra,2009,3,Irrigated Palay,287441.7,296534.9,333368.4,274774.3,293394.2,267036.3,27.94666666666667,26.166666666666668,26.290000000000003,26.793333333333333,27.070000000000004,25.506666666666664,676.0,3224.0,1695.0,9160.0,671.0,3224.0,720.0,2099.0
Abra,2009,4,Irrigated Palay,273942.3,287441.7,296534.9,333368.4,274774.3,293394.2,27.633333333333336,27.94666666666667,26.166666666666668,26.290000000000003,26.793333333333333,27.070000000000004,9160.0,676.0,3224.0,1695.0,9160.0,671.0,3224.0,30585.0
Abra,2010,1,Irrigated Palay,362066.3,273942.3,287441.7,296534.9,333368.4,274774.3,28.09,27.633333333333336,27.94666666666667,26.166666666666668,26.290000000000003,26.793333333333333,1695.0,9160.0,676.0,3224.0,1695.0,9160.0,671.0,5805.0
Abra,2010,2,Irrigated Palay,312501.2,362066.3,273942.3,287441.7,296534.9,333368.4,28.12,28.09,27.633333333333336,27.94666666666667,26.166666666666668,26.290000000000003,3224.0,1695.0,9160.0,676.0,3224.0,1695.0,9160.0,12206.0
Abra,2010,3,Irrigated Palay,292304.1,312501.2,362066.3,273942.3,287441.7,296534.9,27.776666666666667,28.12,28.09,27.633333333333336,27.94666666666667,26.166666666666668,676.0,3224.0,1695.0,9160.0,676.0,3224.0,1695.0,2224.0
Abra,2010,4,Irrigated Palay,293158.5,292304.1,312501.2,362066.3,273942.3,287441.7,25.843333333333334,27.776666666666667,28.12,28.09,27.633333333333336,27.94666666666667,9168.0,676.0,3224.0,1695.0,9160.0,676.0,3224.0,31421.0
Abra,2011,1,Irrigated Palay,394354.0,293158.5,292304.1,312501.2,362066.3,273942.3,25.393333333333334,25.843333333333334,27.776666666666667,28.12,28.09,27.633333333333336,1690.0,9168.0,676.0,3224.0,1695.0,9160.0,676.0,6101.0
Abra,2011,2,Irrigated Palay,353982.1,394354.0,293158.5,292304.1,312501.2,362066.3,25.679999999999996,25.393333333333334,25.843333333333334,27.776666666666667,28.12,28.09,3265.0,1690.0,9168.0,676.0,3224.0,1695.0,9160.0,12763.0
Abra,2011,3,Irrigated Palay,340422.5,353982.1,394354.0,293158.5,292304.1,312501.2,27.313333333333333,25.679999999999996,25.393333333333334,25.843333333333334,27.776666666666667,28.12,681.0,3265.0,1690.0,9168.0,676.0,3224.0,1695.0,2384.0
Abra,2011,4,Irrigated Palay,321381.7,340422.5,353982.1,394354.0,293158.5,292304.1,26.560000000000002,27.313333333333333,25.679999999999996,25.393333333333334,25.843333333333334,27.776666666666667,9168.0,681.0,3265.0,1690.0,9168.0,676.0,3224.0,32125.0
Abra,2012,1,Irrigated Palay,414178.3,321381.7,340422.5,353982.1,394354.0,293158.5,25.856666666666666,26.560000000000002,27.313333333333333,25.679999999999996,25.393333333333334,25.843333333333334,1701.0,9168.0,681.0,3265.0,1690.0,9168.0,676.0,6209.0
Abra,2012,2,Irrigated Palay,347054.9,414178.3,321381.7,340422.5,353982.1,394354.0,26.293333333333333,25.856666666666666,26.560000000000002,27.313333333333333,25.679999999999996,25.393333333333334,3365.0,1701.0,9168.0,681.0,3265.0,1690.0,9168.0,13316.0
Abra,2012,3,Irrigated Palay,337675.2,347054.9,414178.3,321381.7,340422.5,353982.1,27.643333333333334,26.293333333333333,25.856666666666666,26.560000000000002,27.313333333333333,25.679999999999996,681.0,3365.0,1701.0,9168.0,681.0,3265.0,1690.0,2418.0
Abra,2012,4,Irrigated Palay,334959.8,337675.2,347054.9,414178.3,321381.7,340422.5,27.45,27.643333333333334,26.293333333333333,25.856666666666666,26.560000000000002,27.313333333333333,9168.0,681.0,3365.0,1701.0,9168.0,681.0,3265.0,33276.0
Abra,2013,1,Irrigated Palay,428783.4,334959.8,337675.2,347054.9,414178.3,321381.7,26.876666666666665,27.45,27.643333333333334,26.293333333333333,25.856666666666666,26.560000000000002,1701.0,9168.0,681.0,3365.0,1701.0,9168.0,681.0,6311.0
Abra,2013,2,Irrigated Palay,355840.1,428783.4,334959.8,337675.2,347054.9,414178.3,26.453333333333333,26.876666666666665,27.45,27.643333333333334,26.293333333333333,25.856666666666666,3370.0,1701.0,9168.0,681.0,3365.0,1701.0,9168.0,13345.0
Abra,2013,3,Irrigated Palay,338539.2,355840.1,428783.4,334959.8,337675.2,347054.9,27.623333333333335,26.453333333333333,26.876666666666665,27.45,27.643333333333334,26.293333333333333,681.0,3370.0,1701.0,9168.0,681.0,3365.0,1701.0,2503.0
Abra,2013,4,Irrigated Palay,344721.8,338539.2,355840.1,428783.4,334959.8,337675.2,26.763333333333332,27.623333333333335,26.453333333333333,26.876666666666665,27.45,27.643333333333334,9168.0,681.0,3370.0,1701.0,9168.0,681.0,3365.0,32480.0
Abra,2014,1,Irrigated Palay,464020.4,344721.8,338539.2,355840.1,428783.4,334959.8,26.606666666666666,26.763333333333332,27.623333333333335,26.453333333333333,26.876666666666665,27.45,1701.0,9168.0,681.0,3370.0,1701.0,9168.0,681.0,6464.0
Abra,2014,2,Irrigated Palay,393886.9,464020.4,344721.8,338539.2,355840.1,428783.4,26.28333333333333,26.606666666666666,26.763333333333332,27.623333333333335,26.453333333333333,26.876666666666665,3390.0,1701.0,9168.0,681.0,3370.0,1701.0,9168.0,13202.0
