Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,AFF GDP Q_n-3,AFF GDP Q_n-4,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,NINO3.4 SST Q_n-3,NINO3.4 SST Q_n-4,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,Area Harvested Q_n-3,Area Harvested Q_n-4,PALAY YIELD Q_n
Mountain Province,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,1080.0,3230.0,2430.0,1360.0,1480.0,1880.0
Ilocos Norte,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,3910.0,17530.0,680.0,3050.0,4890.0,10487.0
Ilocos Norte,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,5270.0,3910.0,17530.0,680.0,3050.0,14480.0
Ilocos Norte,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1120.0,5270.0,3910.0,17530.0,680.0,2845.0
Ilocos Norte,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,19350.0,1120.0,5270.0,3910.0,17530.0,52632.0
Ilocos Sur,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,3540.0,11650.0,350.0,110.0,2900.0,8736.0
La Union,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,3150.0,8190.0,80.0,4450.0,3230.0,8183.0
La Union,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,3260.0,3150.0,8190.0,80.0,4450.0,8358.0
La Union,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,120.0,3260.0,3150.0,8190.0,80.0,347.0
La Union,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,9960.0,120.0,3260.0,3150.0,8190.0,30217.0
Pangasinan,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,24550.0,78260.0,1110.0,8040.0,24640.0,70860.0
Pangasinan,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,6850.0,24550.0,78260.0,1110.0,8040.0,19591.0
Pangasinan,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,2430.0,6850.0,24550.0,78260.0,1110.0,7727.0
Pangasinan,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,74210.0,2430.0,6850.0,24550.0,78260.0,215329.0
Cagayan,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,28170.0,22150.0,5880.0,12550.0,21730.0,87690.0
Cagayan,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,12430.0,28170.0,22150.0,5880.0,12550.0,33934.0
Cagayan,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,7210.0,12430.0,28170.0,22150.0,5880.0,22207.0
Cagayan,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,27140.0,7210.0,12430.0,28170.0,22150.0,70020.0
Isabela,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,58170.0,69880.0,10170.0,25280.0,58130.0,217246.0
Isabela,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,26230.0,58170.0,69880.0,10170.0,25280.0,96264.0
Isabela,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,20520.0,26230.0,58170.0,69880.0,10170.0,82907.0
Isabela,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,61580.0,20520.0,26230.0,58170.0,69880.0,236103.0
Nueva Vizcaya,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,9930.0,6740.0,7060.0,7030.0,8550.0,29132.0
Nueva Vizcaya,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,8230.0,9930.0,6740.0,7060.0,7030.0,32773.0
Nueva Vizcaya,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,8260.0,8230.0,9930.0,6740.0,7060.0,31194.0
Nueva Vizcaya,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,6000.0,8260.0,8230.0,9930.0,6740.0,18600.0
Quirino,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,4090.0,3920.0,910.0,2750.0,3040.0,10149.0
Quirino,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,3110.0,4090.0,3920.0,910.0,2750.0,8821.0
Quirino,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1060.0,3110.0,4090.0,3920.0,910.0,2883.0
Quirino,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,3360.0,1060.0,3110.0,4090.0,3920.0,7728.0
Aurora,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,3250.0,2560.0,1080.0,3660.0,1920.0,9153.0
Aurora,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,4150.0,3250.0,2560.0,1080.0,3660.0,12396.0
Aurora,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1720.0,4150.0,3250.0,2560.0,1080.0,3801.0
Aurora,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,4640.0,1720.0,4150.0,3250.0,2560.0,10069.0
Bulacan,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,15930.0,25660.0,1830.0,5890.0,23430.0,57838.0
Bulacan,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,9970.0,15930.0,25660.0,1830.0,5890.0,35808.0
Bulacan,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,3240.0,9970.0,15930.0,25660.0,1830.0,13478.0
Bulacan,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,24270.0,3240.0,9970.0,15930.0,25660.0,83003.0
Nueva Ecija,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,17640.0,88610.0,290.0,65500.0,7490.0,55566.0
Nueva Ecija,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,35040.0,17640.0,88610.0,290.0,65500.0,171502.0
Nueva Ecija,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1900.0,35040.0,17640.0,88610.0,290.0,6479.0
Nueva Ecija,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,89890.0,1900.0,35040.0,17640.0,88610.0,189625.0
Pampanga,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,20480.0,17910.0,330.0,6840.0,20680.0,71677.0
Pampanga,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,6510.0,20480.0,17910.0,330.0,6840.0,23762.0
Pampanga,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1240.0,6510.0,20480.0,17910.0,330.0,4055.0
Pampanga,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,17590.0,1240.0,6510.0,20480.0,17910.0,50835.0
Tarlac,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,19400.0,43440.0,9850.0,3630.0,13400.0,56056.0
Tarlac,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,190.0,19400.0,43440.0,9850.0,3630.0,513.0
Tarlac,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,5190.0,190.0,19400.0,43440.0,9850.0,12560.0
Tarlac,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,39750.0,5190.0,190.0,19400.0,43440.0,87000.0
Zambales,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,8710.0,520.0,2870.0,3230.0,8880.0,17025.0
Batangas,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,3520.0,6570.0,850.0,3090.0,1150.0,10356.0
Batangas,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,2460.0,3520.0,6570.0,850.0,3090.0,7435.0
Batangas,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,2820.0,2460.0,3520.0,6570.0,850.0,4880.0
Batangas,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,5210.0,2820.0,2460.0,3520.0,6570.0,9378.0
Cavite,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,3760.0,7310.0,900.0,650.0,3710.0,10940.0
Cavite,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,1510.0,3760.0,7310.0,900.0,650.0,3910.0
Cavite,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1880.0,1510.0,3760.0,7310.0,900.0,6033.0
Cavite,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,7610.0,1880.0,1510.0,3760.0,7310.0,15981.0
Laguna,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,6930.0,13830.0,3040.0,6080.0,11110.0,30377.0
Laguna,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,9950.0,6930.0,13830.0,3040.0,6080.0,34113.0
Laguna,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,4800.0,9950.0,6930.0,13830.0,3040.0,16848.0
Laguna,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,9180.0,4800.0,9950.0,6930.0,13830.0,31579.0
Quezon,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,7080.0,12790.0,2030.0,5840.0,6130.0,24508.0
Quezon,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,5590.0,7080.0,12790.0,2030.0,5840.0,17193.0
Quezon,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,4710.0,5590.0,7080.0,12790.0,2030.0,17521.0
Quezon,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,11830.0,4710.0,5590.0,7080.0,12790.0,26499.0
Rizal,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,1610.0,2110.0,160.0,950.0,1710.0,4631.0
Rizal,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,1510.0,1610.0,2110.0,160.0,950.0,5784.0
Rizal,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,230.0,1510.0,1610.0,2110.0,160.0,891.0
Rizal,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,2130.0,230.0,1510.0,1610.0,2110.0,6709.0
Marinduque,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,870.0,310.0,230.0,130.0,730.0,1433.0
Marinduque,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,20.0,870.0,310.0,230.0,130.0,56.0
Marinduque,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,430.0,20.0,870.0,310.0,230.0,996.0
Marinduque,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,160.0,430.0,20.0,870.0,310.0,344.0
Occidental Mindoro,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,990.0,21220.0,140.0,20140.0,120.0,4055.0
Occidental Mindoro,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,16420.0,990.0,21220.0,140.0,20140.0,59984.0
Oriental Mindoro,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,5630.0,11760.0,540.0,9180.0,6640.0,18258.0
Oriental Mindoro,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,13630.0,5630.0,11760.0,540.0,9180.0,39391.0
Oriental Mindoro,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,1750.0,13630.0,5630.0,11760.0,540.0,5124.0
Oriental Mindoro,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,15040.0,1750.0,13630.0,5630.0,11760.0,42533.0
Palawan,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,3840.0,6240.0,490.0,680.0,3880.0,9465.0
Palawan,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,670.0,3840.0,6240.0,490.0,680.0,1065.0
Palawan,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,710.0,670.0,3840.0,6240.0,490.0,1676.0
Palawan,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,5520.0,710.0,670.0,3840.0,6240.0,13952.0
Albay,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,18400.0,11360.0,4550.0,9130.0,12970.0,35405.0
Albay,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,8650.0,18400.0,11360.0,4550.0,9130.0,19986.0
Albay,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,8730.0,8650.0,18400.0,11360.0,4550.0,22436.0
Albay,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,11470.0,8730.0,8650.0,18400.0,11360.0,26861.0
Camarines Norte,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,3350.0,4060.0,1430.0,6110.0,740.0,9960.0
Camarines Norte,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,3780.0,3350.0,4060.0,1430.0,6110.0,11702.0
Camarines Norte,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,3690.0,3780.0,3350.0,4060.0,1430.0,11476.0
Camarines Norte,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,3990.0,3690.0,3780.0,3350.0,4060.0,10358.0
Camarines Sur,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,33150.0,31930.0,7830.0,7760.0,21580.0,84238.0
Camarines Sur,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,7790.0,33150.0,31930.0,7830.0,7760.0,20799.0
Camarines Sur,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,8920.0,7790.0,33150.0,31930.0,7830.0,29614.0
Camarines Sur,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,36290.0,8920.0,7790.0,33150.0,31930.0,92898.0
Catanduanes,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,1180.0,730.0,330.0,250.0,630.0,2426.0
Catanduanes,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,810.0,1180.0,730.0,330.0,250.0,1502.0
Catanduanes,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,720.0,810.0,1180.0,730.0,330.0,1712.0
Catanduanes,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,970.0,720.0,810.0,1180.0,730.0,1649.0
Masbate,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,1430.0,1820.0,240.0,340.0,770.0,2578.0
Masbate,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,320.0,1430.0,1820.0,240.0,340.0,486.0
Masbate,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,330.0,320.0,1430.0,1820.0,240.0,541.0
Masbate,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,1350.0,330.0,320.0,1430.0,1820.0,2700.0
Sorsogon,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,7370.0,10170.0,3320.0,9330.0,2960.0,21494.0
Sorsogon,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,4960.0,7370.0,10170.0,3320.0,9330.0,14753.0
Sorsogon,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,4270.0,4960.0,7370.0,10170.0,3320.0,14475.0
Sorsogon,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,9430.0,4270.0,4960.0,7370.0,10170.0,30930.0
Aklan,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,7510.0,6890.0,2290.0,3440.0,6130.0,23007.0
Aklan,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,1610.0,7510.0,6890.0,2290.0,3440.0,4255.0
Aklan,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,6770.0,1610.0,7510.0,6890.0,2290.0,16790.0
Aklan,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,4440.0,6770.0,1610.0,7510.0,6890.0,11766.0
Antique,1988,1,Irrigated Palay,48597.8,32527.7,42938.7,39782.8,27.606666666666666,28.173333333333332,28.290000000000003,27.72666666666667,9430.0,6350.0,2590.0,2430.0,9030.0,24485.0
Antique,1988,2,Irrigated Palay,42356.2,48597.8,32527.7,42938.7,27.156666666666666,27.606666666666666,28.173333333333332,28.290000000000003,1620.0,9430.0,6350.0,2590.0,2430.0,4366.0
Antique,1988,3,Irrigated Palay,48545.2,42356.2,48597.8,32527.7,26.61,27.156666666666666,27.606666666666666,28.173333333333332,4310.0,1620.0,9430.0,6350.0,2590.0,13921.0
Antique,1988,4,Irrigated Palay,39183.9,48545.2,42356.2,48597.8,25.623333333333335,26.61,27.156666666666666,27.606666666666666,4770.0,4310.0,1620.0,9430.0,6350.0,13356.0
