Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,AFF GDP Q_n-3,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,NINO3.4 SST Q_n-3,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,Area Harvested Q_n-3,PALAY YIELD Q_n
Abra,1991,2,Irrigated Palay,63482.2,68165.9,53027.8,26.973333333333333,26.846666666666664,26.996666666666666,3220.0,670.0,4080.0,810.0,6365.0
Abra,1991,3,Irrigated Palay,62316.1,63482.2,68165.9,28.040000000000003,26.973333333333333,26.846666666666664,440.0,3220.0,670.0,4080.0,861.0
Abra,1991,4,Irrigated Palay,55754.1,62316.1,63482.2,27.44666666666667,28.040000000000003,26.973333333333333,4140.0,440.0,3220.0,670.0,7756.0
Abra,1992,1,Irrigated Palay,79396.1,55754.1,62316.1,27.753333333333334,27.44666666666667,28.040000000000003,810.0,4140.0,440.0,3220.0,1563.0
Abra,1992,2,Irrigated Palay,72138.6,79396.1,55754.1,28.3,27.753333333333334,27.44666666666667,2830.0,810.0,4140.0,440.0,5776.0
Abra,1992,3,Irrigated Palay,67859.7,72138.6,79396.1,28.573333333333334,28.3,27.753333333333334,450.0,2830.0,810.0,4140.0,942.0
Abra,1992,4,Irrigated Palay,61128.0,67859.7,72138.6,26.956666666666667,28.573333333333334,28.3,4140.0,450.0,2830.0,810.0,5776.0
Abra,1993,1,Irrigated Palay,93417.7,61128.0,67859.7,26.563333333333333,26.956666666666667,28.573333333333334,810.0,4140.0,450.0,2830.0,1460.0
Abra,1993,2,Irrigated Palay,79063.6,93417.7,61128.0,27.08666666666667,26.563333333333333,26.956666666666667,2710.0,810.0,4140.0,450.0,5212.0
Abra,1993,3,Irrigated Palay,71961.1,79063.6,93417.7,28.173333333333332,27.08666666666667,26.563333333333333,700.0,2710.0,810.0,4140.0,1255.0
Abra,1993,4,Irrigated Palay,62458.1,71961.1,79063.6,27.123333333333335,28.173333333333332,27.08666666666667,3940.0,700.0,2710.0,810.0,7594.0
Abra,1994,1,Irrigated Palay,104628.6,62458.1,71961.1,26.866666666666664,27.123333333333335,28.173333333333332,660.0,3940.0,700.0,2710.0,1243.0
Abra,1994,2,Irrigated Palay,91738.8,104628.6,62458.1,26.87,26.866666666666664,27.123333333333335,2100.0,660.0,3940.0,700.0,4158.0
Abra,1994,3,Irrigated Palay,87405.3,91738.8,104628.6,27.906666666666666,26.87,26.866666666666664,650.0,2100.0,660.0,3940.0,1193.0
Abra,1994,4,Irrigated Palay,79050.2,87405.3,91738.8,27.209999999999997,27.906666666666666,26.87,4200.0,650.0,2100.0,660.0,8036.0
Abra,1995,1,Irrigated Palay,114037.0,79050.2,87405.3,27.63,27.209999999999997,27.906666666666666,670.0,4200.0,650.0,2100.0,1266.0
Abra,1995,2,Irrigated Palay,97631.4,114037.0,79050.2,27.406666666666666,27.63,27.209999999999997,2840.0,670.0,4200.0,650.0,5576.0
Abra,1995,3,Irrigated Palay,91833.8,97631.4,114037.0,27.63,27.406666666666666,27.63,530.0,2840.0,670.0,4200.0,902.0
Abra,1995,4,Irrigated Palay,95039.6,91833.8,97631.4,26.506666666666664,27.63,27.406666666666666,7740.0,530.0,2840.0,670.0,13892.0
Abra,1996,1,Irrigated Palay,127416.9,95039.6,91833.8,25.786666666666665,26.506666666666664,27.63,550.0,7740.0,530.0,2840.0,1039.0
Abra,1996,2,Irrigated Palay,111239.9,127416.9,95039.6,26.093333333333334,25.786666666666665,26.506666666666664,2840.0,550.0,7740.0,530.0,5424.0
Abra,1996,3,Irrigated Palay,106899.1,111239.9,127416.9,27.30666666666667,26.093333333333334,25.786666666666665,540.0,2840.0,550.0,7740.0,954.0
Abra,1996,4,Irrigated Palay,103514.7,106899.1,111239.9,26.643333333333334,27.30666666666667,26.093333333333334,8400.0,540.0,2840.0,550.0,19572.0
Abra,1997,1,Irrigated Palay,125319.5,103514.7,106899.1,26.21666666666667,26.643333333333334,27.30666666666667,550.0,8400.0,540.0,2840.0,1100.0
Abra,1997,2,Irrigated Palay,113363.8,125319.5,103514.7,26.39,26.21666666666667,26.643333333333334,2980.0,550.0,8400.0,540.0,7212.0
Abra,1997,3,Irrigated Palay,106215.2,113363.8,125319.5,28.166666666666668,26.39,26.21666666666667,530.0,2980.0,550.0,8400.0,1018.0
Abra,1997,4,Irrigated Palay,99570.3,106215.2,113363.8,28.583333333333332,28.166666666666668,26.39,7960.0,530.0,2980.0,550.0,17856.0
Abra,1998,1,Irrigated Palay,137046.0,99570.3,106215.2,28.8,28.583333333333332,28.166666666666668,530.0,7960.0,530.0,2980.0,1055.0
Abra,1998,2,Irrigated Palay,112724.5,137046.0,99570.3,28.493333333333336,28.8,28.583333333333332,2550.0,530.0,7960.0,530.0,5437.0
Abra,1998,3,Irrigated Palay,103829.1,112724.5,137046.0,27.863333333333333,28.493333333333336,28.8,530.0,2550.0,530.0,7960.0,1000.0
Abra,1998,4,Irrigated Palay,100814.7,103829.1,112724.5,25.86,27.863333333333333,28.493333333333336,7920.0,530.0,2550.0,530.0,16896.0
Abra,1999,1,Irrigated Palay,131848.1,100814.7,103829.1,25.28333333333333,25.86,27.863333333333333,540.0,7920.0,530.0,2550.0,1091.0
Abra,1999,2,Irrigated Palay,129091.1,131848.1,100814.7,25.650000000000002,25.28333333333333,25.86,2790.0,540.0,7920.0,530.0,7684.0
Abra,1999,3,Irrigated Palay,117599.4,129091.1,131848.1,26.796666666666667,25.650000000000002,25.28333333333333,540.0,2790.0,540.0,7920.0,1161.0
Abra,1999,4,Irrigated Palay,113313.6,117599.4,129091.1,25.893333333333334,26.796666666666667,25.650000000000002,8112.0,540.0,2790.0,540.0,23770.0
Abra,2000,1,Irrigated Palay,148640.2,113313.6,117599.4,25.25333333333333,25.893333333333334,26.796666666666667,700.0,8112.0,540.0,2790.0,1484.0
Abra,2000,2,Irrigated Palay,125530.2,148640.2,113313.6,25.373333333333335,25.25333333333333,25.893333333333334,2800.0,700.0,8112.0,540.0,8584.0
Abra,2000,3,Irrigated Palay,124887.5,125530.2,148640.2,26.94333333333333,25.373333333333335,25.25333333333333,530.0,2800.0,700.0,8112.0,1140.0
Abra,2000,4,Irrigated Palay,113497.5,124887.5,125530.2,26.400000000000002,26.94333333333333,25.373333333333335,8116.0,530.0,2800.0,700.0,24200.0
Abra,2001,1,Irrigated Palay,151564.7,113497.5,124887.5,25.856666666666666,26.400000000000002,26.94333333333333,700.0,8116.0,530.0,2800.0,1484.0
Abra,2001,2,Irrigated Palay,122880.6,151564.7,113497.5,26.28333333333333,25.856666666666666,26.400000000000002,2820.0,700.0,8116.0,530.0,8197.0
Abra,2001,3,Irrigated Palay,125987.5,122880.6,151564.7,27.403333333333336,26.28333333333333,25.856666666666666,550.0,2820.0,700.0,8116.0,1194.0
Abra,2001,4,Irrigated Palay,121929.4,125987.5,122880.6,26.86,27.403333333333336,26.28333333333333,8116.0,550.0,2820.0,700.0,24916.0
Abra,2002,1,Irrigated Palay,164560.6,121929.4,125987.5,26.326666666666668,26.86,27.403333333333336,700.0,8116.0,550.0,2820.0,1519.0
Abra,2002,2,Irrigated Palay,139121.7,164560.6,121929.4,26.763333333333335,26.326666666666668,26.86,2820.0,700.0,8116.0,550.0,8680.0
Abra,2002,3,Irrigated Palay,133602.0,139121.7,164560.6,28.073333333333334,26.763333333333335,26.326666666666668,630.0,2820.0,700.0,8116.0,1496.0
Abra,2002,4,Irrigated Palay,131605.2,133602.0,139121.7,27.683333333333334,28.073333333333334,26.763333333333335,8186.0,630.0,2820.0,700.0,23436.0
Abra,2003,1,Irrigated Palay,180752.5,131605.2,133602.0,27.92,27.683333333333334,28.073333333333334,680.0,8186.0,630.0,2820.0,1455.0
Abra,2003,2,Irrigated Palay,148870.5,180752.5,131605.2,27.52333333333333,27.92,27.683333333333334,3006.0,680.0,8186.0,630.0,9193.0
Abra,2003,3,Irrigated Palay,140507.6,148870.5,180752.5,27.44,27.52333333333333,27.92,664.0,3006.0,680.0,8186.0,1408.0
Abra,2003,4,Irrigated Palay,139398.9,140507.6,148870.5,27.073333333333334,27.44,27.52333333333333,8116.0,664.0,3006.0,680.0,25402.0
Abra,2004,1,Irrigated Palay,191659.6,139398.9,140507.6,27.066666666666666,27.073333333333334,27.44,693.0,8116.0,664.0,3006.0,1504.0
Abra,2004,2,Irrigated Palay,175281.0,191659.6,139398.9,26.91,27.066666666666666,27.073333333333334,3154.0,693.0,8116.0,664.0,9777.0
Abra,2004,3,Irrigated Palay,171867.2,175281.0,191659.6,27.80333333333333,26.91,27.066666666666666,656.0,3154.0,693.0,8116.0,1464.0
Abra,2004,4,Irrigated Palay,175144.1,171867.2,175281.0,27.566666666666666,27.80333333333333,26.91,8139.0,656.0,3154.0,693.0,25962.0
Abra,2005,1,Irrigated Palay,222223.9,175144.1,171867.2,27.366666666666664,27.566666666666666,27.80333333333333,700.0,8139.0,656.0,3154.0,2170.0
Abra,2005,2,Irrigated Palay,188460.1,222223.9,175144.1,27.21666666666667,27.366666666666664,27.566666666666666,3164.0,700.0,8139.0,656.0,10125.0
Abra,2005,3,Irrigated Palay,180793.2,188460.1,222223.9,27.98,27.21666666666667,27.366666666666664,656.0,3164.0,700.0,8139.0,1699.0
Abra,2005,4,Irrigated Palay,186337.0,180793.2,188460.1,26.99,27.98,27.21666666666667,8132.0,656.0,3164.0,700.0,26592.0
Abra,2006,1,Irrigated Palay,244281.1,186337.0,180793.2,26.276666666666667,26.99,27.98,716.0,8132.0,656.0,3164.0,2220.0
Abra,2006,2,Irrigated Palay,210596.4,244281.1,186337.0,26.09,26.276666666666667,26.99,3164.0,716.0,8132.0,656.0,10758.0
Abra,2006,3,Irrigated Palay,202886.6,210596.4,244281.1,27.709999999999997,26.09,26.276666666666667,656.0,3164.0,716.0,8132.0,1791.0
Abra,2006,4,Irrigated Palay,203640.3,202886.6,210596.4,27.266666666666666,27.709999999999997,26.09,8148.0,656.0,3164.0,716.0,27866.0
Abra,2007,1,Irrigated Palay,258094.3,203640.3,202886.6,27.61,27.266666666666666,27.709999999999997,720.0,8148.0,656.0,3164.0,2268.0
Abra,2007,2,Irrigated Palay,225815.3,258094.3,203640.3,27.103333333333335,27.61,27.266666666666666,3164.0,720.0,8148.0,656.0,11239.0
Abra,2007,3,Irrigated Palay,225863.8,225815.3,258094.3,27.573333333333334,27.103333333333335,27.61,676.0,3164.0,720.0,8148.0,1924.0
Abra,2007,4,Irrigated Palay,225946.3,225863.8,225815.3,26.37,27.573333333333334,27.103333333333335,9160.0,676.0,3164.0,720.0,31674.0
Abra,2008,1,Irrigated Palay,301804.3,225946.3,225863.8,25.48333333333333,26.37,27.573333333333334,720.0,9160.0,676.0,3164.0,2376.0
Abra,2008,2,Irrigated Palay,267036.3,301804.3,225946.3,25.506666666666664,25.48333333333333,26.37,3224.0,720.0,9160.0,676.0,11606.0
Abra,2008,3,Irrigated Palay,293394.2,267036.3,301804.3,27.070000000000004,25.506666666666664,25.48333333333333,671.0,3224.0,720.0,9160.0,1946.0
Abra,2008,4,Irrigated Palay,274774.3,293394.2,267036.3,26.793333333333333,27.070000000000004,25.506666666666664,9160.0,671.0,3224.0,720.0,32657.0
Abra,2009,1,Irrigated Palay,333368.4,274774.3,293394.2,26.290000000000003,26.793333333333333,27.070000000000004,1695.0,9160.0,671.0,3224.0,5790.0
Abra,2009,2,Irrigated Palay,296534.9,333368.4,274774.3,26.166666666666668,26.290000000000003,26.793333333333333,3224.0,1695.0,9160.0,671.0,12202.0
Abra,2009,3,Irrigated Palay,287441.7,296534.9,333368.4,27.94666666666667,26.166666666666668,26.290000000000003,676.0,3224.0,1695.0,9160.0,2099.0
Abra,2009,4,Irrigated Palay,273942.3,287441.7,296534.9,27.633333333333336,27.94666666666667,26.166666666666668,9160.0,676.0,3224.0,1695.0,30585.0
Abra,2010,1,Irrigated Palay,362066.3,273942.3,287441.7,28.09,27.633333333333336,27.94666666666667,1695.0,9160.0,676.0,3224.0,5805.0
Abra,2010,2,Irrigated Palay,312501.2,362066.3,273942.3,28.12,28.09,27.633333333333336,3224.0,1695.0,9160.0,676.0,12206.0
Abra,2010,3,Irrigated Palay,292304.1,312501.2,362066.3,27.776666666666667,28.12,28.09,676.0,3224.0,1695.0,9160.0,2224.0
Abra,2010,4,Irrigated Palay,293158.5,292304.1,312501.2,25.843333333333334,27.776666666666667,28.12,9168.0,676.0,3224.0,1695.0,31421.0
Abra,2011,1,Irrigated Palay,394354.0,293158.5,292304.1,25.393333333333334,25.843333333333334,27.776666666666667,1690.0,9168.0,676.0,3224.0,6101.0
Abra,2011,2,Irrigated Palay,353982.1,394354.0,293158.5,25.679999999999996,25.393333333333334,25.843333333333334,3265.0,1690.0,9168.0,676.0,12763.0
Abra,2011,3,Irrigated Palay,340422.5,353982.1,394354.0,27.313333333333333,25.679999999999996,25.393333333333334,681.0,3265.0,1690.0,9168.0,2384.0
Abra,2011,4,Irrigated Palay,321381.7,340422.5,353982.1,26.560000000000002,27.313333333333333,25.679999999999996,9168.0,681.0,3265.0,1690.0,32125.0
Abra,2012,1,Irrigated Palay,414178.3,321381.7,340422.5,25.856666666666666,26.560000000000002,27.313333333333333,1701.0,9168.0,681.0,3265.0,6209.0
Abra,2012,2,Irrigated Palay,347054.9,414178.3,321381.7,26.293333333333333,25.856666666666666,26.560000000000002,3365.0,1701.0,9168.0,681.0,13316.0
Abra,2012,3,Irrigated Palay,337675.2,347054.9,414178.3,27.643333333333334,26.293333333333333,25.856666666666666,681.0,3365.0,1701.0,9168.0,2418.0
Abra,2012,4,Irrigated Palay,334959.8,337675.2,347054.9,27.45,27.643333333333334,26.293333333333333,9168.0,681.0,3365.0,1701.0,33276.0
Abra,2013,1,Irrigated Palay,428783.4,334959.8,337675.2,26.876666666666665,27.45,27.643333333333334,1701.0,9168.0,681.0,3365.0,6311.0
Abra,2013,2,Irrigated Palay,355840.1,428783.4,334959.8,26.453333333333333,26.876666666666665,27.45,3370.0,1701.0,9168.0,681.0,13345.0
Abra,2013,3,Irrigated Palay,338539.2,355840.1,428783.4,27.623333333333335,26.453333333333333,26.876666666666665,681.0,3370.0,1701.0,9168.0,2503.0
Abra,2013,4,Irrigated Palay,344721.8,338539.2,355840.1,26.763333333333332,27.623333333333335,26.453333333333333,9168.0,681.0,3370.0,1701.0,32480.0
Abra,2014,1,Irrigated Palay,464020.4,344721.8,338539.2,26.606666666666666,26.763333333333332,27.623333333333335,1701.0,9168.0,681.0,3370.0,6464.0
Abra,2014,2,Irrigated Palay,393886.9,464020.4,344721.8,26.28333333333333,26.606666666666666,26.763333333333332,3390.0,1701.0,9168.0,681.0,13202.0
Abra,2014,3,Irrigated Palay,374265.3,393886.9,464020.4,28.166666666666668,26.28333333333333,26.606666666666666,686.0,3390.0,1701.0,9168.0,2575.0
Abra,2014,4,Irrigated Palay,357220.7,374265.3,393886.9,27.076666666666668,28.166666666666668,26.28333333333333,9173.0,686.0,3390.0,1701.0,30122.0
Abra,2015,1,Irrigated Palay,495327.0,357220.7,374265.3,27.349999999999998,27.076666666666668,28.166666666666668,1711.0,9173.0,686.0,3390.0,6331.0
Abra,2015,2,Irrigated Palay,380057.7,495327.0,357220.7,27.41,27.349999999999998,27.076666666666668,3390.0,1711.0,9173.0,686.0,13304.0
Abra,2015,3,Irrigated Palay,350398.4,380057.7,495327.0,28.689999999999998,27.41,27.349999999999998,676.0,3390.0,1711.0,9173.0,2474.0
Abra,2015,4,Irrigated Palay,339552.1,350398.4,380057.7,28.55333333333333,28.689999999999998,27.41,9150.0,676.0,3390.0,1711.0,25211.0
Abra,2016,1,Irrigated Palay,463360.9,339552.1,350398.4,29.183333333333334,28.55333333333333,28.689999999999998,1706.0,9150.0,676.0,3390.0,6278.0
Abra,2016,2,Irrigated Palay,367694.2,463360.9,339552.1,28.953333333333333,29.183333333333334,28.55333333333333,3383.0,1706.0,9150.0,676.0,10745.0
Abra,2016,3,Irrigated Palay,348622.8,367694.2,463360.9,28.223333333333333,28.953333333333333,29.183333333333334,681.0,3383.0,1706.0,9150.0,2517.0
Abra,2016,4,Irrigated Palay,359115.2,348622.8,367694.2,26.543333333333333,28.223333333333333,28.953333333333333,9149.0,681.0,3383.0,1706.0,24792.0
Abra,2017,1,Irrigated Palay,468846.3,359115.2,348622.8,26.186666666666667,26.543333333333333,28.223333333333333,1706.0,9149.0,681.0,3383.0,6278.0
Abra,2017,2,Irrigated Palay,399693.9,468846.3,359115.2,26.856666666666666,26.186666666666667,26.543333333333333,3383.0,1706.0,9149.0,681.0,12416.0
Abra,2017,3,Irrigated Palay,391556.8,399693.9,468846.3,28.19,26.856666666666666,26.186666666666667,681.0,3383.0,1706.0,9149.0,2520.0
Abra,2017,4,Irrigated Palay,381799.4,391556.8,399693.9,26.956666666666667,28.19,26.856666666666666,9164.0,681.0,3383.0,1706.0,26905.0
Abra,2018,1,Irrigated Palay,512906.0,381799.4,391556.8,26.01,26.956666666666667,28.19,1746.0,9164.0,681.0,3383.0,6408.0
Abra,2018,2,Irrigated Palay,429665.7,512906.0,381799.4,26.143333333333334,26.01,26.956666666666667,2904.0,1746.0,9164.0,681.0,10492.0
Abra,2018,3,Irrigated Palay,406440.8,429665.7,512906.0,27.646666666666665,26.143333333333334,26.01,680.0,2904.0,1746.0,9164.0,2380.0
Abra,2018,4,Irrigated Palay,396871.1,406440.8,429665.7,27.266666666666666,27.646666666666665,26.143333333333334,9150.0,680.0,2904.0,1746.0,23665.0
Abra,2019,1,Irrigated Palay,529638.9,396871.1,406440.8,27.62,27.266666666666666,27.646666666666665,1746.0,9150.0,680.0,2904.0,6452.0
Abra,2019,2,Irrigated Palay,420920.0,529638.9,396871.1,27.63,27.62,27.266666666666666,2904.0,1746.0,9150.0,680.0,11255.0
Abra,2019,3,Irrigated Palay,395738.8,420920.0,529638.9,28.49,27.63,27.62,681.0,2904.0,1746.0,9150.0,2520.0
Abra,2019,4,Irrigated Palay,391370.6,395738.8,420920.0,27.173333333333332,28.49,27.63,9218.0,681.0,2904.0,1746.0,37001.0
Abra,2020,1,Irrigated Palay,513509.3,391370.6,395738.8,27.213333333333335,27.173333333333332,28.49,1746.0,9218.0,681.0,2904.0,7502.0
Abra,2020,2,Irrigated Palay,442374.6,513509.3,391370.6,27.290000000000003,27.213333333333335,27.173333333333332,2904.0,1746.0,9218.0,681.0,11311.0
Abra,2020,3,Irrigated Palay,423957.9,442374.6,513509.3,27.776666666666667,27.290000000000003,27.213333333333335,8985.87,2904.0,1746.0,9218.0,33796.5
Abra,2020,4,Irrigated Palay,410313.2,423957.9,442374.6,26.55,27.776666666666667,27.290000000000003,913.0,8985.87,2904.0,1746.0,3734.0
Abra,2021,1,Irrigated Palay,551778.0,410313.2,423957.9,25.63,26.55,27.776666666666667,1851.0,913.0,8985.87,2904.0,8023.0
Abra,2021,2,Irrigated Palay,486938.0,551778.0,410313.2,26.076666666666668,25.63,26.55,2799.27,1851.0,913.0,8985.87,12046.0
Abra,2021,3,Irrigated Palay,453832.3,486938.0,551778.0,27.49,26.076666666666668,25.63,2152.0,2799.27,1851.0,913.0,8350.0
Abra,2021,4,Irrigated Palay,433483.8,453832.3,486938.0,26.74,27.49,26.076666666666668,7747.0,2152.0,2799.27,1851.0,31680.0
Abra,2022,1,Irrigated Palay,580232.6,433483.8,453832.3,25.856666666666666,26.74,27.49,1850.9,7747.0,2152.0,2799.27,8289.0
Abra,2022,2,Irrigated Palay,499972.7,580232.6,433483.8,26.03,25.856666666666666,26.74,2799.0,1850.9,7747.0,2152.0,11722.0
Abra,2022,3,Irrigated Palay,480440.7,499972.7,580232.6,26.903333333333336,26.03,25.856666666666666,2152.0,2799.0,1850.9,7747.0,8272.0
Abra,2022,4,Irrigated Palay,484834.0,480440.7,499972.7,26.143333333333334,26.903333333333336,26.03,7747.0,2152.0,2799.0,1850.9,27054.0
Abra,2023,1,Irrigated Palay,638842.5,484834.0,480440.7,25.873333333333335,26.143333333333334,26.903333333333336,1851.0,7747.0,2152.0,2799.0,8292.0
Abra,2023,2,Irrigated Palay,566966.6,638842.5,484834.0,26.46666666666667,25.873333333333335,26.143333333333334,2799.0,1851.0,7747.0,2152.0,11657.0
Abra,2023,3,Irrigated Palay,503276.0,566966.6,638842.5,28.310000000000002,26.46666666666667,25.873333333333335,2151.63,2799.0,1851.0,7747.0,6622.95
Abra,2023,4,Irrigated Palay,511362.3,503276.0,566966.6,28.286666666666665,28.310000000000002,26.46666666666667,7747.0,2151.63,2799.0,1851.0,27110.0
Abra,2024,1,Irrigated Palay,703554.3,511362.3,503276.0,28.573333333333334,28.286666666666665,28.310000000000002,1892.93,7747.0,2151.63,2799.0,8005.0
Apayao,1994,4,Irrigated Palay,79050.2,87405.3,91738.8,27.209999999999997,27.906666666666666,26.87,5340.0,491.0,3983.0,1176.0,13801.0
Apayao,1995,1,Irrigated Palay,114037.0,79050.2,87405.3,27.63,27.209999999999997,27.906666666666666,973.0,5340.0,491.0,3983.0,2347.0
Apayao,1995,2,Irrigated Palay,97631.4,114037.0,79050.2,27.406666666666666,27.63,27.209999999999997,4211.0,973.0,5340.0,491.0,7452.0
Apayao,1995,3,Irrigated Palay,91833.8,97631.4,114037.0,27.63,27.406666666666666,27.63,287.0,4211.0,973.0,5340.0,1006.0
Apayao,1995,4,Irrigated Palay,95039.6,91833.8,97631.4,26.506666666666664,27.63,27.406666666666666,6433.0,287.0,4211.0,973.0,15724.0
Apayao,1996,1,Irrigated Palay,127416.9,95039.6,91833.8,25.786666666666665,26.506666666666664,27.63,511.0,6433.0,287.0,4211.0,1358.0
Apayao,1996,2,Irrigated Palay,111239.9,127416.9,95039.6,26.093333333333334,25.786666666666665,26.506666666666664,4655.0,511.0,6433.0,287.0,10588.0
Apayao,1996,3,Irrigated Palay,106899.1,111239.9,127416.9,27.30666666666667,26.093333333333334,25.786666666666665,400.0,4655.0,511.0,6433.0,1123.0
Apayao,1996,4,Irrigated Palay,103514.7,106899.1,111239.9,26.643333333333334,27.30666666666667,26.093333333333334,6240.0,400.0,4655.0,511.0,14074.0
Apayao,1997,1,Irrigated Palay,125319.5,103514.7,106899.1,26.21666666666667,26.643333333333334,27.30666666666667,668.0,6240.0,400.0,4655.0,1664.0
Apayao,1997,2,Irrigated Palay,113363.8,125319.5,103514.7,26.39,26.21666666666667,26.643333333333334,4696.0,668.0,6240.0,400.0,10982.0
Apayao,1997,3,Irrigated Palay,106215.2,113363.8,125319.5,28.166666666666668,26.39,26.21666666666667,458.0,4696.0,668.0,6240.0,1427.0
Apayao,1997,4,Irrigated Palay,99570.3,106215.2,113363.8,28.583333333333332,28.166666666666668,26.39,6135.0,458.0,4696.0,668.0,14655.0
Apayao,1998,1,Irrigated Palay,137046.0,99570.3,106215.2,28.8,28.583333333333332,28.166666666666668,898.0,6135.0,458.0,4696.0,2191.0
Apayao,1998,2,Irrigated Palay,112724.5,137046.0,99570.3,28.493333333333336,28.8,28.583333333333332,3380.0,898.0,6135.0,458.0,6461.0
Apayao,1998,3,Irrigated Palay,103829.1,112724.5,137046.0,27.863333333333333,28.493333333333336,28.8,447.0,3380.0,898.0,6135.0,1075.0
Apayao,1998,4,Irrigated Palay,100814.7,103829.1,112724.5,25.86,27.863333333333333,28.493333333333336,7322.0,447.0,3380.0,898.0,11608.0
Apayao,1999,1,Irrigated Palay,131848.1,100814.7,103829.1,25.28333333333333,25.86,27.863333333333333,789.0,7322.0,447.0,3380.0,2343.0
Apayao,1999,2,Irrigated Palay,129091.1,131848.1,100814.7,25.650000000000002,25.28333333333333,25.86,4181.0,789.0,7322.0,447.0,9784.0
Apayao,1999,3,Irrigated Palay,117599.4,129091.1,131848.1,26.796666666666667,25.650000000000002,25.28333333333333,869.0,4181.0,789.0,7322.0,2668.0
Apayao,1999,4,Irrigated Palay,113313.6,117599.4,129091.1,25.893333333333334,26.796666666666667,25.650000000000002,3859.0,869.0,4181.0,789.0,11345.0
Apayao,2000,1,Irrigated Palay,148640.2,113313.6,117599.4,25.25333333333333,25.893333333333334,26.796666666666667,1905.0,3859.0,869.0,4181.0,5467.0
Apayao,2000,2,Irrigated Palay,125530.2,148640.2,113313.6,25.373333333333335,25.25333333333333,25.893333333333334,2792.0,1905.0,3859.0,869.0,6980.0
Apayao,2000,3,Irrigated Palay,124887.5,125530.2,148640.2,26.94333333333333,25.373333333333335,25.25333333333333,648.0,2792.0,1905.0,3859.0,1652.0
Apayao,2000,4,Irrigated Palay,113497.5,124887.5,125530.2,26.400000000000002,26.94333333333333,25.373333333333335,6810.0,648.0,2792.0,1905.0,19681.0
Apayao,2001,1,Irrigated Palay,151564.7,113497.5,124887.5,25.856666666666666,26.400000000000002,26.94333333333333,1502.0,6810.0,648.0,2792.0,4942.0
Apayao,2001,2,Irrigated Palay,122880.6,151564.7,113497.5,26.28333333333333,25.856666666666666,26.400000000000002,5605.0,1502.0,6810.0,648.0,18160.0
Apayao,2001,3,Irrigated Palay,125987.5,122880.6,151564.7,27.403333333333336,26.28333333333333,25.856666666666666,448.0,5605.0,1502.0,6810.0,1319.0
Apayao,2001,4,Irrigated Palay,121929.4,125987.5,122880.6,26.86,27.403333333333336,26.28333333333333,7520.0,448.0,5605.0,1502.0,23026.0
