Province,Year,Quarter,Crop,AFF GDP Q_n-1,AFF GDP Q_n-2,NINO3.4 SST Q_n-1,NINO3.4 SST Q_n-2,Area Harvested Q_n,Area Harvested Q_n-1,Area Harvested Q_n-2,PALAY YIELD Q_n
Rizal,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,160.0,950.0,1710.0,352.0
Rizal,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2110.0,160.0,950.0,6959.0
Marinduque,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,230.0,130.0,730.0,338.0
Marinduque,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,310.0,230.0,130.0,667.0
Occidental Mindoro,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,140.0,20140.0,120.0,494.0
Occidental Mindoro,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,21220.0,140.0,20140.0,55420.0
Oriental Mindoro,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,540.0,9180.0,6640.0,1440.0
Oriental Mindoro,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,11760.0,540.0,9180.0,21275.0
Palawan,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,490.0,680.0,3880.0,798.0
Palawan,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,6240.0,490.0,680.0,20813.0
Albay,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,4550.0,9130.0,12970.0,10761.0
Albay,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,11360.0,4550.0,9130.0,21791.0
Camarines Norte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1430.0,6110.0,740.0,4420.0
Camarines Norte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,4060.0,1430.0,6110.0,10110.0
Camarines Sur,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,7830.0,7760.0,21580.0,21958.0
Camarines Sur,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,31930.0,7830.0,7760.0,90607.0
Catanduanes,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,330.0,250.0,630.0,464.0
Catanduanes,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,730.0,330.0,250.0,1228.0
Masbate,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,240.0,340.0,770.0,534.0
Masbate,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1820.0,240.0,340.0,4502.0
Sorsogon,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,3320.0,9330.0,2960.0,9174.0
Sorsogon,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,10170.0,3320.0,9330.0,29236.0
Aklan,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2290.0,3440.0,6130.0,7603.0
Aklan,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,6890.0,2290.0,3440.0,15727.0
Antique,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2590.0,2430.0,9030.0,8542.0
Antique,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,6350.0,2590.0,2430.0,22786.0
Capiz,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,100.0,520.0,6300.0,406.0
Capiz,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,5860.0,100.0,520.0,21903.0
Iloilo,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1850.0,6030.0,21270.0,6823.0
Iloilo,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,23310.0,1850.0,6030.0,81600.0
Negros Occidental,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,5080.0,6710.0,11500.0,14890.0
Negros Occidental,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,18420.0,5080.0,6710.0,56578.0
Bohol,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,250.0,610.0,6510.0,325.0
Bohol,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,6810.0,250.0,610.0,10751.0
Cebu,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,310.0,640.0,1100.0,443.0
Cebu,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2130.0,310.0,640.0,3276.0
Negros Oriental,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,4030.0,2900.0,5270.0,8926.0
Negros Oriental,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,8420.0,4030.0,2900.0,21818.0
Siquijor,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,180.0,460.0,20.0,183.0
Siquijor,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,170.0,180.0,460.0,273.0
Eastern Samar,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,30.0,80.0,700.0,45.0
Eastern Samar,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,200.0,30.0,80.0,322.0
Leyte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1660.0,10530.0,21780.0,3364.0
Leyte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,33000.0,1660.0,10530.0,88664.0
Southern Leyte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,570.0,2600.0,1550.0,1926.0
Southern Leyte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2350.0,570.0,2600.0,7234.0
Zamboanga del Norte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,790.0,230.0,1140.0,2029.0
Zamboanga del Norte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,4800.0,790.0,230.0,15895.0
Zamboanga del Sur,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,6230.0,6080.0,15370.0,18239.0
Zamboanga del Sur,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,12100.0,6230.0,6080.0,44047.0
Zamboanga City,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,400.0,570.0,750.0,867.0
Zamboanga City,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1300.0,400.0,570.0,4206.0
Bukidnon,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,4190.0,3620.0,7350.0,17369.0
Bukidnon,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,19680.0,4190.0,3620.0,85212.0
Camiguin,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,220.0,410.0,50.0,648.0
Camiguin,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,300.0,220.0,410.0,933.0
Lanao del Norte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,5010.0,2980.0,4500.0,9593.0
Lanao del Norte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,10000.0,5010.0,2980.0,21699.0
Misamis Occidental,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1610.0,850.0,3260.0,5569.0
Misamis Occidental,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2480.0,1610.0,850.0,8192.0
Misamis Oriental,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,690.0,800.0,2380.0,1847.0
Misamis Oriental,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,3230.0,690.0,800.0,10806.0
Davao del Norte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,4260.0,3970.0,18250.0,19436.0
Davao del Norte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,13090.0,4260.0,3970.0,59461.0
Davao del Sur,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,6860.0,1390.0,10010.0,34748.0
Davao del Sur,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,7390.0,6860.0,1390.0,34312.0
Davao Oriental,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,300.0,1580.0,2280.0,729.0
Davao Oriental,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2180.0,300.0,1580.0,9200.0
City of Davao,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,500.0,1070.0,670.0,1781.0
City of Davao,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1560.0,500.0,1070.0,3937.0
Cotabato (North Cotabato),1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,8220.0,4140.0,18980.0,28005.0
Cotabato (North Cotabato),1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,24280.0,8220.0,4140.0,93017.0
South Cotabato,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,5270.0,7870.0,9510.0,21834.0
South Cotabato,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,13910.0,5270.0,7870.0,54908.0
Sultan Kudarat,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,7810.0,1420.0,12070.0,32695.0
Sultan Kudarat,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,23390.0,7810.0,1420.0,89093.0
Agusan del Norte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,750.0,3380.0,1460.0,935.0
Agusan del Norte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1000.0,750.0,3380.0,2665.0
Agusan del Sur,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,20.0,2120.0,40.0,66.0
Agusan del Sur,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,3630.0,20.0,2120.0,12637.0
Surigao del Norte,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1140.0,4500.0,3110.0,4384.0
Surigao del Norte,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,4340.0,1140.0,4500.0,12511.0
Surigao del Sur,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2180.0,2990.0,3060.0,7572.0
Surigao del Sur,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,3720.0,2180.0,2990.0,8792.0
Lanao del Sur,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,320.0,870.0,60.0,1095.0
Lanao del Sur,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,940.0,320.0,870.0,2595.0
Maguindanao,1987,3,Irrigated Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2990.0,520.0,6660.0,9391.0
Maguindanao,1987,4,Irrigated Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,9090.0,2990.0,520.0,29727.0
Kalinga,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,90.0,240.0,430.0,381.0
Kalinga,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1530.0,90.0,240.0,3458.0
Pangasinan,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1220.0,800.0,990.0,2864.0
Pangasinan,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,79430.0,1220.0,800.0,173579.0
Cagayan,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,840.0,17540.0,19480.0,1561.0
Cagayan,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,7590.0,840.0,17540.0,10011.0
Isabela,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,290.0,270.0,8920.0,658.0
Isabela,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2880.0,290.0,270.0,6215.0
Nueva Vizcaya,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1080.0,180.0,2440.0,2436.0
Nueva Vizcaya,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,590.0,1080.0,180.0,549.0
Quirino,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,310.0,2040.0,2200.0,621.0
Quirino,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1190.0,310.0,2040.0,1620.0
Aurora,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,130.0,40.0,370.0,233.0
Aurora,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1720.0,130.0,40.0,3253.0
Nueva Ecija,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,440.0,540.0,1010.0,1603.0
Nueva Ecija,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,31300.0,440.0,540.0,65264.0
Batangas,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,3170.0,860.0,680.0,2598.0
Batangas,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,14980.0,3170.0,860.0,14991.0
Laguna,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,270.0,820.0,1660.0,318.0
Laguna,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,910.0,270.0,820.0,1517.0
Quezon,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,480.0,3360.0,11670.0,749.0
Quezon,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,14890.0,480.0,3360.0,28945.0
Oriental Mindoro,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,210.0,10690.0,3740.0,317.0
Oriental Mindoro,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,21410.0,210.0,10690.0,37037.0
Palawan,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1030.0,160.0,5190.0,1230.0
Palawan,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,16860.0,1030.0,160.0,28048.0
Albay,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,520.0,1670.0,3790.0,1036.0
Albay,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2950.0,520.0,1670.0,4001.0
Camarines Norte,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,60.0,3010.0,730.0,91.0
Camarines Norte,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,710.0,60.0,3010.0,1496.0
Camarines Sur,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,3550.0,3220.0,12310.0,8309.0
Camarines Sur,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,25020.0,3550.0,3220.0,52869.0
Catanduanes,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,360.0,630.0,4800.0,385.0
Catanduanes,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,2210.0,360.0,630.0,3143.0
Masbate,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,720.0,880.0,18430.0,505.0
Masbate,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,35910.0,720.0,880.0,38012.0
Sorsogon,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,80.0,2620.0,1790.0,172.0
Sorsogon,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,6420.0,80.0,2620.0,9615.0
Aklan,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,790.0,3850.0,4890.0,1116.0
Aklan,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,7150.0,790.0,3850.0,9775.0
Capiz,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2030.0,1660.0,31240.0,3359.0
Capiz,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,33480.0,2030.0,1660.0,99498.0
Iloilo,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,12190.0,2490.0,60130.0,23062.0
Iloilo,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,86600.0,12190.0,2490.0,213162.0
Negros Occidental,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,8460.0,1020.0,18570.0,17851.0
Negros Occidental,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,26360.0,8460.0,1020.0,67512.0
Bohol,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,70.0,5330.0,26040.0,49.0
Bohol,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,26730.0,70.0,5330.0,30960.0
Cebu,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,220.0,2340.0,880.0,175.0
Cebu,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,250.0,220.0,2340.0,476.0
Leyte,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2950.0,6290.0,20030.0,3644.0
Leyte,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,15610.0,2950.0,6290.0,28284.0
Northern Samar,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,40.0,1560.0,24590.0,32.0
Northern Samar,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,5160.0,40.0,1560.0,7847.0
Samar,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,980.0,4860.0,11100.0,1134.0
Samar,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,18750.0,980.0,4860.0,21883.0
Southern Leyte,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,50.0,1210.0,2230.0,57.0
Southern Leyte,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1530.0,50.0,1210.0,3970.0
Zamboanga del Norte,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1490.0,740.0,6330.0,1409.0
Zamboanga del Norte,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,7730.0,1490.0,740.0,13749.0
Zamboanga del Sur,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,9690.0,1080.0,10310.0,15149.0
Zamboanga del Sur,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,20770.0,9690.0,1080.0,52190.0
Bukidnon,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,9530.0,2100.0,5960.0,14394.0
Bukidnon,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,1530.0,9530.0,2100.0,1511.0
Lanao del Norte,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2790.0,270.0,20.0,1310.0
Lanao del Norte,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,760.0,2790.0,270.0,1421.0
Davao del Norte,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2060.0,1290.0,7200.0,8650.0
Davao del Norte,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,13260.0,2060.0,1290.0,44168.0
Davao del Sur,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,1520.0,1320.0,200.0,1693.0
Davao del Sur,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,530.0,1520.0,1320.0,2800.0
Davao Oriental,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,30.0,510.0,1000.0,21.0
Davao Oriental,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,280.0,30.0,510.0,1065.0
City of Davao,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,2400.0,2710.0,490.0,4460.0
City of Davao,1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,990.0,2400.0,2710.0,2707.0
Cotabato (North Cotabato),1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,6720.0,120.0,3960.0,14519.0
Cotabato (North Cotabato),1987,4,Rainfed Palay,32527.7,42938.7,28.173333333333332,28.290000000000003,8560.0,6720.0,120.0,22379.0
South Cotabato,1987,3,Rainfed Palay,42938.7,39782.8,28.290000000000003,27.72666666666667,3470.0,1620.0,3750.0,9761.0
